Country Code,Series Code,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,Most_Recent
AND,EN.ATM.CO2E.KT,491.378,513.38,524.381,524.381,531.715,535.382,561.051,575.719,546.383,539.049,539.049,517.047,517.047,491.378,487.711,476.71,462.042,462.042
AND,EN.ATM.CO2E.PC,7.660783886,7.975454404,8.019284294,7.786950001,7.590615141,7.315760706,7.358624941,7.299871936,6.746218716,6.519465912,6.427886622,6.121652341,6.122594702,5.867129945,5.916596911,5.900752587,5.832169951,5.832169951
AND,EN.ATM.CO2E.KD.GD,0.198487896,0.199209649,0.196543657,0.187995918,0.179039556,0.160717098,0.156457078,0.14948973,0.135715868,0.133840627,0.146417933,0.145823533,0.154080435,0.153566589,0.154922913,0.150897786,0.142997742,0.142997742
AND,EN.CO2.ETOT.ZS,,,,,,,,,,,,,,,,,,
AND,EN.ATM.CO2E.GF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,EN.ATM.CO2E.LF.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AND,EN.CO2.MANF.ZS,,,,,,,,,,,,,,,,,,
AND,EN.CO2.OTHX.ZS,,,,,,,,,,,,,,,,,,
AND,EN.CO2.BLDG.ZS,,,,,,,,,,,,,,,,,,
AND,EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AND,EN.CO2.TRAN.ZS,,,,,,,,,,,,,,,,,,
AND,EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,
AND,EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,
AGO,EN.ATM.CO2E.KT,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,25709.337,27792.193,29057.308,30340.758,33399.036,32617.965,34763.16,34763.16
AGO,EN.ATM.CO2E.PC,0.47137391,0.574083595,0.580352661,0.573047493,0.720768849,0.497975073,0.996165478,0.979740026,1.098883898,1.197843982,1.181526759,1.232494515,1.243405585,1.252789255,1.330843018,1.254617218,1.291328315,1.291328315
AGO,EN.ATM.CO2E.KD.GD,0.225055499,0.273120136,0.276283106,0.270391394,0.378140666,0.257138883,0.480796827,0.41440758,0.39895384,0.367608737,0.330139355,0.348477468,0.352334016,0.35402371,0.370602297,0.3388477,0.344577654,0.344577654
AGO,EN.CO2.ETOT.ZS,15.54959786,17.72151899,20.08639309,20.67594433,18.90909091,17.28045326,11.48648649,15.93495935,12.96969697,12.34439834,13.3784928,17.80821918,17.18440185,14.86318408,12.58609894,14.38053097,19.17098446,19.17098446
AGO,EN.ATM.CO2E.GF.ZS,14.85198194,11.45374449,11.37586472,10.17332329,9.14881297,13.43042071,7.668292683,6.527565084,5.862977602,6.342032366,4.949365283,4.644412192,4.719838465,4.641044235,4.259991217,2.349634626,1.666666667,1.666666667
AGO,EN.ATM.CO2E.LF.ZS,37.83241345,40.52863436,38.47040738,44.2351168,39.6641575,75.48543689,26.8097561,24.73200613,34.86495389,35.01968217,39.78034517,44.28024805,46.04997476,47.3168963,51.50417216,53.26587971,56.01265823,56.01265823
AGO,EN.CO2.MANF.ZS,34.85254692,31.22362869,33.90928726,32.20675944,32.36363636,25.92067989,28.37837838,27.96747967,23.75757576,23.54771784,17.78154107,15.78947368,15.53205552,15.17412935,13.9636819,9.07079646,7.772020725,7.772020725
AGO,EN.CO2.OTHX.ZS,0.268096515,0.210970464,0,-2.21E-15,0,0.141643059,0.135135135,0.162601626,0.363636364,0.31120332,0.33869602,0.288392213,0.264375413,0.248756219,0.313087038,0.331858407,0.362694301,0.362694301
AGO,EN.CO2.BLDG.ZS,26.80965147,26.37130802,22.67818575,23.26043738,21.81818182,17.70538244,17.43243243,16.09756098,23.39393939,23.85892116,24.80948349,25.01802451,24.65300727,25.55970149,28.55353788,31.0840708,28.70466321,28.70466321
AGO,EN.ATM.CO2E.SF.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
